freq_per_A,resolution_A,H6_vs_H7,H6_vs_H8,H6_vs_W6,H6_vs_W7,H6_vs_W8,H7_vs_H8,H7_vs_W6,H7_vs_W7,H7_vs_W8,H8_vs_W6,H8_vs_W7,H8_vs_W8,W6_vs_W7,W6_vs_W8,W7_vs_W8
0.40286,2.48,0.0016,0.0130,-0.0057,0.0073,-0.0050,0.0071,0.0052,0.0254,0.0119,-0.0015,0.0140,0.0148,0.0230,0.0192,0.0208
0.40663,2.46,0.0060,0.0166,-0.0026,0.0074,-0.0002,0.0062,0.0057,0.0243,0.0063,0.0014,0.0097,0.0119,0.0228,0.0205,0.0274
0.41039,2.44,0.0083,0.0140,0.0031,0.0082,-0.0051,0.0069,0.0061,0.0259,0.0077,0.0093,0.0117,0.0154,0.0214,0.0185,0.0248
0.41416,2.41,0.0081,0.0122,0.0060,0.0080,0.0017,0.0079,0.0035,0.0255,0.0023,0.0077,0.0044,0.0152,0.0183,0.0145,0.0258
0.41792,2.39,0.0092,0.0102,0.0062,0.0053,-0.0004,0.0031,0.0089,0.0238,0.0022,0.0080,0.0096,0.0193,0.0132,0.0111,0.0201
0.42169,2.37,0.0070,0.0037,0.0027,0.0044,0.0020,0.0056,0.0073,0.0215,0.0001,0.0090,0.0066,0.0162,0.0064,0.0081,0.0123
0.42545,2.35,0.0077,-0.0008,0.0013,0.0001,0.0023,0.0010,0.0090,0.0204,0.0042,0.0087,0.0094,0.0156,0.0042,0.0046,0.0127
0.42922,2.33,0.0058,-0.0028,-0.0006,-0.0009,0.0044,0.0048,0.0054,0.0192,0.0053,0.0112,0.0077,0.0097,0.0073,0.0030,0.0089
0.43298,2.31,0.0043,-0.0021,-0.0044,-0.0043,0.0051,0.0065,0.0040,0.0170,0.0111,0.0062,0.0053,0.0087,0.0130,0.0011,0.0119
0.43675,2.29,0.0075,0.0006,-0.0077,-0.0004,0.0021,0.0088,0.0009,0.0180,0.0099,0.0070,0.0052,0.0064,0.0155,0.0041,0.0091
0.44051,2.27,0.0065,0.0023,-0.0087,0.0027,0.0008,0.0122,0.0039,0.0205,0.0151,0.0038,0.0075,0.0077,0.0223,0.0062,0.0180
0.44428,2.25,0.0088,0.0045,-0.0078,0.0056,-0.0002,0.0089,0.0034,0.0248,0.0169,0.0018,0.0103,0.0078,0.0237,0.0123,0.0184
0.44804,2.23,0.0109,0.0103,-0.0061,0.0085,-0.0033,0.0091,0.0064,0.0266,0.0201,0.0025,0.0167,0.0152,0.0315,0.0158,0.0271
0.45181,2.21,0.0110,0.0111,-0.0035,0.0103,-0.0033,0.0089,0.0120,0.0315,0.0183,0.0022,0.0169,0.0122,0.0314,0.0241,0.0307
0.45557,2.20,0.0114,0.0127,-0.0027,0.0113,-0.0035,0.0063,0.0137,0.0312,0.0167,0.0066,0.0156,0.0162,0.0341,0.0252,0.0349
0.45934,2.18,0.0163,0.0120,0.0018,0.0129,-0.0025,0.0063,0.0140,0.0285,0.0134,0.0068,0.0127,0.0186,0.0347,0.0255,0.0332
0.46310,2.16,0.0148,0.0125,0.0034,0.0113,0.0027,0.0045,0.0165,0.0262,0.0090,0.0079,0.0135,0.0219,0.0321,0.0231,0.0325
0.46687,2.14,0.0175,0.0115,0.0070,0.0073,0.0022,0.0072,0.0152,0.0298,0.0089,0.0123,0.0136,0.0240,0.0281,0.0226,0.0285
0.47063,2.12,0.0150,0.0076,0.0045,0.0028,0.0057,0.0078,0.0156,0.0299,0.0082,0.0130,0.0154,0.0216,0.0212,0.0164,0.0239
0.47440,2.11,0.0154,0.0044,0.0051,0.0026,0.0093,0.0130,0.0139,0.0318,0.0053,0.0120,0.0128,0.0155,0.0172,0.0099,0.0229
0.47816,2.09,0.0100,0.0009,-0.0052,0.0027,0.0070,0.0123,0.0089,0.0264,0.0042,0.0112,0.0083,0.0147,0.0146,0.0063,0.0180
0.48193,2.08,0.0092,-0.0008,-0.0052,0.0045,0.0037,0.0074,0.0072,0.0210,0.0056,0.0073,0.0062,0.0115,0.0117,0.0031,0.0128
0.48569,2.06,0.0063,-0.0028,-0.0076,0.0042,-0.0021,0.0033,0.0038,0.0173,0.0087,0.0077,0.0046,0.0090,0.0140,0.0030,0.0116
