uid,ensemble_class,gmm_class,gmm_max_resp
8639930495180476171,P6,P6,0.9999919575823657
762459790995262599,P6,P6,0.9996593501764195
14555739143159668803,P6,P6,0.9983885596962061
2460912388249059327,P6,P6,0.9999785860441273
8233885673295945771,P6,P6,0.9986124094136481
13691370847646174454,P6,P6,0.9998422396776425
2010002671302650075,P6,P6,0.9850639978682548
17364355179994139676,P6,P6,0.9999805881768958
3749553106706732535,P6,P6,0.9994197945422576
16641758040481771305,P6,P6,0.9914089718379234
13892047614501207729,P6,P6,0.9448021628878276
17976300512756492978,P6,P6,0.9995268610933722
16220581446813739472,P6,P6,0.9999858366314561
5404027545884694836,P6,P6,0.9949446234748714
11170512764403279969,P6,P6,0.9997416351054637
9763525891216973836,P6,P6,0.9992803881116676
9787918317354618260,P6,P6,0.9996425731048574
8902893500659624264,P6,P6,0.9634788067423804
4423598256812834928,P6,P6,0.9996409729779414
11816729055633459597,P6,P6,0.9997603265626086
2978795719590244277,P6,P6,0.990149719579275
2839925519428388998,P6,P6,0.9999102504914634
5089990976563071472,P6,P6,0.998720337642221
15707825138859664515,P6,P6,0.9938093296131649
17155733872374857890,P6,P6,0.9597323431222743
1007227465084392526,P6,P6,0.9979190303742196
9963016025750062298,P6,P6,0.9999950635482001
6819618295405924731,P6,P6,0.9915987454626722
14634320376842894449,P6,P6,0.9928443055728814
11926172640664781570,P6,P6,0.9994946652141804
2867686893494638144,P6,P6,0.997486288726561
13276385929892500222,P6,P6,0.9986839497475196
2226100818293747881,P6,P6,0.8407985297684787
14134782110638304276,P6,P6,0.9999853495473149
2601585371414338101,P6,P6,0.9936801024170543
9687764261514870127,P6,P6,0.9917528085949138
2817350435704886083,P6,P6,0.998944898902127
18318700410025864885,P6,P6,0.9997396330621776
18040052696406116290,P6,P6,0.9996696757860889
10019850564566653778,P6,P6,0.9982916006983672
12590496449120103703,P6,P6,0.9914476028190896
15714077122569766988,P6,P6,0.9943512069116571
8524346345775994630,P6,P6,0.9976352057739443
15407243808146561830,P6,P6,0.9980475327617078
5744149287601901100,P6,P6,0.9994510838188968
9768453183246903037,P6,P6,0.9999715278473619
13277813117905830210,P6,P6,0.8993767996193163
2281006358107145198,P6,P6,0.9979582542284637
7337309716689560036,P6,P6,0.9972027527299037
7267586629799319003,P6,P6,0.9968843396786995
5831316430978667671,P6,P6,0.9157821551985293
13663759860748624649,P6,P6,0.9999868498037199
9682515110536995805,P6,P6,0.9031398072067225
1196815181921395674,P6,P6,0.9991723851570351
16534858402656895040,P6,P6,0.9999963711389024
11745126298659316265,P6,P6,0.9983911104816706
6279450665110930300,P6,P6,0.9998493987943516
15432959060983299569,P6,P6,0.9999900987603083
7928207564315603344,P6,P6,0.9981031884636461
10417201315648968943,P6,P6,0.9974634845378085
12992309805361874753,P6,P6,0.9998043720196118
3441850293501528880,P6,P6,0.9283652655078102
2942514682098017047,P6,P6,0.9992131472534311
9007268419548434495,P6,P6,0.9926423797068092
2137394226730851815,P6,P6,0.9977457381142528
2184366372600699661,P6,P6,0.9948691832142018
10835796016138619803,P6,P6,0.9837075662739656
12123932611354889912,P6,P6,0.9869996517067837
14718518878789916279,P6,P6,0.999632652291382
14136649817357609548,P6,P6,0.999946475560056
15237345978346049943,P6,P6,0.9988763316553021
15922157530495206266,P6,P6,0.9999664883008874
15379025901737920139,P6,P6,0.9992895323555511
5092265987184468388,P6,P6,0.9999817462331886
7068071447197647330,P6,P6,0.9937044389285382
4159599870545078345,P6,P6,0.9032751304023253
551187660630903016,P6,P6,0.9999924319662006
12456070323101776686,P6,P6,0.9999153535812483
7644032241836324731,P6,P6,0.9916395103627841
13654744514690696623,P6,P6,0.9957919484865865
15189597188220745954,P6,P6,0.9987876161332714
10268933109037017433,P6,P6,0.9970406849749002
14185921868955427645,P6,P6,0.9999544241643902
5639064806648200309,P6,P6,0.9639527910149193
3570483259614929403,P6,P6,0.9997036354537105
16447651733328010073,P6,P6,0.9040148927025483
2509446446365567687,P6,P6,0.9860546191882085
14666181834610151954,P6,P6,0.9623607634102955
11670639995579503785,P6,P6,0.9999565368907034
