uid,basin,cryosparc_hard_class
8754505469092741249,1,P10
17459891455579720355,1,P6
7240452432697599692,1,P6
15895253449289846863,1,P7
2783667966709955768,1,P6
9072911225838543914,1,P10
18138029824259435910,1,P10
17529461131990217300,1,P6
12582059680109066132,1,P6
15302295737740229958,1,P6
6610853010271336091,1,P10
10457405764050523469,1,P6
11148563527759708259,1,P9
11979355629169840671,1,P6
2313828695886002874,1,P10
2167906130733892922,1,P6
9051544811461854116,1,P7
17121877694931348127,1,P6
6845294153910766303,1,P6
13193632020508789120,1,P10
4410003580441378137,1,P6
16588925099715069887,1,P9
9640709334753913377,1,P6
4357280180813089576,1,P6
14926643768318068900,1,P6
2053054808179992359,1,P9
9646839359402931768,1,P7
6630403295851322869,1,P6
15114808049840346465,1,P6
14290742000918456983,1,P6
14827142729874897822,1,P6
3820393431861360373,1,P6
13247771055898114677,1,P6
6501967977327962178,1,P6
9084790911298024848,1,P6
12028393385729081181,1,P6
166626024540694354,1,P6
11906520862254265375,1,P6
11769034472535964439,1,P6
16738174409146399097,1,P6
32040180790962871,1,P6
14002889331713158217,1,P6
13289490191180492216,1,P6
5014190843448016780,1,P6
1394215371062723120,1,P6
13692864125482223307,1,P6
10331960778298216585,1,P6
15473901721091665740,1,P6
1863252528513889210,1,P6
7757663795369445872,1,P10
2651732837510304403,1,P6
6773342982862107841,1,P7
1185188892856830895,1,P6
13432221431152150695,1,P6
18097202856618428454,1,P10
10072821365156374831,1,P6
17253105287955725920,1,P9
9395330228422964272,1,P6
2114381643881993430,1,P6
602264571096602140,1,P6
14844158446836295484,1,P6
16389627943133793704,1,P6
4929901386798370869,1,P6
16146919765311557039,1,P6
12054538224045935951,1,P6
2603672991530850542,1,P6
7482858319282347203,1,P6
3714618756794054411,1,P6
8651610808173851832,1,P6
12331381929906549245,1,P6
2878859325669901980,1,P6
8062831294876563343,1,P6
4238510601978534078,1,P6
4920089546153174353,1,P6
10881151891611745221,1,P6
13231486831854073294,1,P6
6195340398259389981,1,P10
7295102619203719968,1,P6
17452882995196335092,1,P6
5557266633649971628,1,P6
9786945920191496498,1,P6
9892422288100413900,1,P6
18373586926997237172,1,P6
16513170178558600226,1,P6
14876388710955449111,1,P6
9162811408535760867,1,P7
11063171911975195426,1,P6
13051815617116028311,1,P6
1286648273877180915,1,P6
2348367122915428617,1,P6
10837200396301990145,1,P6
14307275720788118687,1,P6
9392045359031922905,1,P6
1109351614588014507,1,P6
10638336812754744565,1,P6
12465956194295051154,1,P7
1653687794883586646,1,P10
17267930557652609854,1,P6
7998530078720962621,1,P6
7039111223329230290,1,P6
15008817810375023754,1,P6
1124051311623012888,1,P6
10361732318294709986,1,P6
11856152359268249071,1,P6
9921040151296498858,1,P6
11098922045744741838,1,P6
16844695946793508142,1,P6
18093607457993551440,1,P9
16831074105924353294,1,P6
11729306858267378281,1,P6
10062133690406247004,1,P7
14380226095853409747,1,P6
6757225975042551428,1,P6
5039580968349028333,1,P6
10650102526008000549,1,P6
8588462812718355479,1,P6
2825927715440328388,1,P6
8668402225915929643,1,P8
7625364439433998976,1,P6
818978441942922518,1,P6
1605599000859663207,1,P6
17585580107403564581,1,P6
14347143434729340003,1,P8
13482597582833069790,1,P6
7892484083134325018,1,P10
15841841389680566266,1,P6
14398182164577788714,1,P6
18135805466582432888,1,P6
10558069709385592107,1,P6
14265688632793802017,1,P6
15851640641136797685,1,P6
8101522632928654621,1,P6
11611500363631210411,1,P6
8473742594782951073,1,P6
17897136702620290436,2,P6
16810241970099239652,1,P6
9143964721079572642,1,P6
8882180133575816192,1,P6
2589323069601770704,1,P6
5291495592807913424,1,P6
8576902067248833697,1,P6
9882865947891834286,1,P6
1673447691374040861,1,P6
11145544792051093209,1,P6
16039148592486442215,1,P6
7409452520460772931,1,P6
3675841303530339120,1,P6
5847974976174692475,1,P6
8100724482376832999,1,P6
636261513311201206,1,P6
16490192848824089277,1,P6
13738764076726697178,1,P6
13099839596045719572,1,P6
4992550161964733401,1,P6
9005577659410746975,1,P6
10516030789688223543,1,P7
18270967052376305176,1,P6
3449319436846041825,1,P6
5058802237515257979,1,P6
10566959676770092286,1,P6
14245503940603962304,1,P6
12342841091415690544,1,P6
14405156653923660376,1,P6
714716643469705861,1,P6
841828661726054413,1,P8
17950816950620641675,1,P6
5511234921968528712,1,P6
9681344785606691506,1,P6
6943056749839172956,1,P6
10891396163121414696,1,P7
1499572254772276952,1,P6
688794599380245720,1,P6
14547563716816413496,1,P6
16860142544261023253,1,P6
12818949921719920343,1,P6
5693698245534492315,1,P6
10935237186491324391,1,P6
17626820161278782615,1,P6
10588819803434162809,1,P7
15586032439875588905,1,P6
7814003366003042878,1,P6
14962026389448241951,1,P6
4726972438050729170,1,P6
2831497012707000712,1,P6
8850554198211314741,1,P10
8950596332771291899,1,P10
16773076513200278797,1,P6
14455035984247671878,1,P10
13230008825382434040,1,P6
17986486754109990970,1,P6
17070296222806413957,1,P10
5794424404401526088,1,P6
5281812013062553772,1,P6
14995290964542281784,1,P6
17129019873014428656,1,P6
4422465230160080953,1,P10
2751539850707517273,1,P10
18183683819672565653,1,P6
10222641644724002640,1,P6
4493432720035228764,1,P6
9873167690574926701,1,P6
14163849115024539731,1,P6
14239716115733542725,1,P7
7067016577836623402,1,P6
14818255565109274108,1,P6
5167500549272697410,1,P6
11915557835128223361,1,P6
17417550992232472329,1,P6
17456609264713675976,1,P6
3762752490764264570,1,P10
12660411101980798463,1,P6
3565257745059433888,1,P7
10698458634709273176,1,P10
9928016492745818082,1,P6
12007354699747620542,1,P6
2602072176085364484,1,P6
11793862685589027415,1,P6
16304556497486068051,1,P10
17447263345039222564,1,P6
25406442642139809,1,P6
6064065793077500100,1,P6
10314890165010315686,1,P6
4678957356401880735,1,P6
13355841425947510494,1,P6
1802217468498162695,1,P8
17901699178591616601,1,P6
14431548672777880821,1,P10
12746525810180118407,1,P6
13944627314245303,1,P10
16849711189270940178,1,P6
757435319343581521,1,P6
5644829812794965733,1,P6
15160149828515274929,1,P6
9013330750454093880,1,P6
11381955849444185595,1,P6
5403712657054389470,1,P10
730884901216668971,1,P10
12213355929645159965,1,P10
3069181318571507992,1,P10
14093378090849910908,1,P6
9765704925298423620,1,P10
15176029071532429640,1,P6
9609106746096599971,1,P6
13420548435300089743,1,P7
16398046404016049693,1,P6
10703589036003549465,1,P9
5197800666064912605,1,P10
15804002052795693781,1,P7
12300742679958129746,1,P6
4795778566211822851,1,P6
7322759046378188692,1,P9
1336638257830465721,1,P6
17411315889682150007,1,P6
14149126983217393428,1,P6
10636094465353227287,1,P6
8283946691867089399,1,P6
7824070686976910415,1,P6
3544322944365941863,1,P10
6871395238272149429,1,P6
11643419038023053713,1,P6
8798491665354543254,1,P6
5429753124291197765,1,P6
3128432566002375569,1,P10
11032343566506340269,1,P6
1374216867798464963,1,P6
17725489711007508505,1,P6
12892708450534368259,1,P6
1401814809082340572,1,P10
9136204341891430890,1,P7
2128840993270832039,1,P6
2343108888225806422,1,P6
12090017375210270316,1,P6
11088521865149328648,1,P10
10689926802612414030,1,P6
12300628910012390498,1,P6
16491339202107540010,1,P6
6548292703704259970,1,P6
5458255571344571154,1,P10
13754135359215558613,1,P7
2155806109533051700,1,P6
4945525531808227322,1,P6
8730995446537745204,1,P6
11133566524914845740,1,P6
13250350848162778671,1,P6
11593106025989526726,1,P9
17824146110292790779,1,P6
12460943039820111466,1,P6
16312248314129509263,1,P6
4003295810334877015,1,P6
16854933581693208889,1,P6
4860274034052667517,1,P7
12692471018598389252,1,P10
5382342573321994384,1,P10
1384475092150191823,1,P6
18129046920054142458,1,P9
2828854210070765187,1,P6
10765640388194199002,1,P6
124994326107999097,1,P6
14038754236350786471,1,P10
6005464530028416589,1,P6
2763612931258848256,1,P6
9388022111220712233,1,P6
2303855660069083844,1,P6
13907485923908817716,1,P6
5216146181117730984,1,P6
8037387753091769046,1,P6
347971565529811052,1,P6
2699527459177537402,1,P10
17831017370927578651,1,P6
4542853903695413652,1,P6
5279246871761490208,1,P6
13350873716592172085,1,P6
13146021432423728630,1,P6
14171972712932221868,1,P9
3376123059458656562,1,P6
14158725098179284501,1,P6
15754798759796699482,1,P9
2194467660314170530,1,P10
15125684177186722480,1,P6
11977916761331810209,1,P10
4426218874549190173,1,P6
6623825242991411398,1,P6
1992981432993202449,1,P7
3491672261002321811,1,P6
14805035943829216255,1,P6
363703867857236795,1,P6
16270852761639523791,1,P6
17356723283765361059,1,P6
10893487248781768154,1,P6
10257643084571457096,1,P10
12977399001560649751,1,P6
987101298428529861,1,P10
5188933853035176980,1,P6
5501353777153750609,1,P6
8614265138166051424,1,P6
3126277208124168867,1,P6
7984882677255430411,1,P6
16194133851776558700,1,P10
16305404167251352207,1,P6
17145864645231789014,1,P6
3929621008716675103,1,P6
1082416189470744249,1,P7
5085898433096719702,1,P7
15962542393036100960,1,P6
12293617505329207450,1,P6
14412596859978446030,1,P6
7677989354844551432,1,P9
13184177233123006236,1,P7
15284034254843719621,1,P8
15533298265818932133,1,P6
8889327112620952103,1,P6
4694892516034170327,1,P6
14081301602125114424,1,P6
109758967567420501,1,P6
15128537837460743094,1,P6
12202370902033750325,1,P6
11398437991303030231,1,P6
1755130581759360775,1,P6
5455605435863046220,1,P6
16213143514355406755,1,P6
16598048132411499116,1,P6
18097659638693321341,1,P6
17278408371569558130,1,P6
2634555256959292887,1,P6
16764621787734856927,1,P6
3726586850782865915,1,P6
7701229203632341498,1,P10
4025147485761832895,1,P10
15822463558623430898,1,P6
1110329980905419384,1,P6
1221037326583299538,1,P6
630303625103250717,1,P6
11126312000338022699,1,P6
3857872924158457561,1,P6
6441213797322039247,1,P6
12904227191174360173,1,P6
15798020904398526956,1,P6
9547643430446699960,1,P6
16469280880061609560,1,P6
5641446991219800526,1,P6
14470699430913328474,1,P9
4846120430416478246,1,P6
9754176349848760191,1,P6
11493540669039260418,1,P9
11788835553364350748,1,P6
8503661617396742550,1,P6
3804663932066318956,1,P6
10795788525985865210,1,P6
9774261382265882245,1,P6
18421314039178070592,1,P6
16116844084489134583,1,P6
16025510380243262038,1,P6
4703182367006896219,1,P6
9436068905894561113,1,P6
11420373221189133342,1,P6
16938091797143997261,1,P6
12169738670679587866,1,P6
10419166101937772339,1,P6
7336503843519047831,1,P6
765799969598337313,1,P6
7678974354017351041,1,P6
6375912005677353987,1,P6
16152774015056014375,1,P7
12687710051867177059,1,P6
3425345028358408451,1,P6
9966328242364578567,1,P6
17443501816936334709,1,P6
8836747251575430409,1,P6
12655586461235929003,1,P7
5657448343799914611,1,P6
17390733956197999778,1,P9
10662480540909656986,1,P10
1669262782937621279,1,P6
16782377514262591642,1,P6
8352788121446419646,1,P6
17467221985543191822,1,P6
17115808058872974056,1,P6
13592910643438464899,1,P10
138853603289897944,1,P6
7900022966152237363,1,P9
16107120273826191276,1,P9
856620519581562262,1,P6
16960441444489706696,1,P6
10159243635986942765,1,P6
13110688612904518392,1,P10
11484397200265032306,1,P6
10033548578792410340,1,P6
1440833918186773403,1,P6
7584767054935487600,1,P6
18326780541358676863,1,P6
11443303716871625093,1,P6
1717284535671514478,1,P6
556713804940487559,1,P6
16914856992697778697,1,P6
216329914140688486,1,P10
939356903511740877,1,P6
8158421111937266845,1,P6
10955880619257538541,1,P10
16549136513494207453,1,P6
7312137084607157700,1,P6
4284504129543887904,1,P7
12095124892519006665,1,P6
4325166601932114473,1,P6
5796417993309138916,1,P6
4347322825004434075,1,P6
7012576194030866724,1,P6
2586800126424566538,1,P6
11142375920336985336,1,P6
2082133224901760666,1,P6
9625795419796644040,1,P6
13236612043859259315,1,P6
12336520449977168470,1,P6
7506319573947173591,1,P6
16608849709133577372,1,P6
3469416154569265148,1,P6
6734149928771287622,1,P10
11994159334744127963,1,P6
3135953239887287561,1,P6
10673569942912819010,1,P6
17218029064871918597,1,P6
10136613615287049591,1,P6
17806945333242736456,1,P6
8346973588444730587,1,P6
8240251686911631922,1,P6
8901618448586251973,1,P6
1671324485009317787,1,P6
12859097742050451127,1,P6
5423173171306567290,1,P7
14591443713375136732,1,P8
18080907554046155886,1,P10
12945269269718325728,1,P10
9391071485376602599,1,P9
12087646728378885213,1,P6
7591683749828053362,1,P6
8514808142680196183,1,P7
1442933053042269193,1,P6
11029435842369450400,1,P6
2780435138462661055,1,P6
7593027060112172243,1,P6
10535291707668988323,1,P10
13099705209051704286,1,P6
