uid,gmm_component,gmm_label,max_responsibility
2216690184342489594,0,P6,0.9463938538564538
7823812518331015047,0,P6,0.9010451230255303
3947156383262257834,2,P8,0.9991322741176559
9233485824786303408,0,P6,0.9195836975078061
16385995808223619931,0,P6,0.9011085151770809
3392435750723778539,0,P6,0.9188165640136531
5416389444630568009,0,P6,0.9183213021684967
2004954133319317605,0,P6,0.9363250621401124
9548610860257612461,0,P6,0.9440983826102476
12679283128985513226,0,P6,0.9012022086017482
17357497783183210004,1,P7,0.9185262091778132
14721009111519580990,0,P6,0.936858840196672
2100210166370522597,0,P6,0.9241130717548474
4059782755117214206,0,P6,0.9297412016912798
18227773693936820535,1,P7,0.9240356316098498
2213645426122752190,0,P6,0.9034920910941515
33379841621630030,0,P6,0.9044040981941276
8196532481978072762,0,P6,0.9019418531331256
6426439101613405116,0,P6,0.9487195158359312
5880850675737521125,0,P6,0.9477299346003808
6033629966121964347,0,P6,0.9078013422930581
4662962682451514813,0,P6,0.9304590862514386
7837432456252078064,0,P6,0.9178705423847594
15899535989842675272,0,P6,0.9267896629657364
2721540341785573653,0,P6,0.9426401868857381
7378681235654952764,0,P6,0.9289984522558925
2354078812448065035,0,P6,0.9432468567770081
16061168141585062806,0,P6,0.9512130670727481
8072609155031220865,0,P6,0.9208822888490945
6797411062727746994,0,P6,0.9041191274530006
12790999446816248515,2,P8,0.9919703725768487
13846096451128493384,0,P6,0.9298175106053416
2728873940487785005,0,P6,0.9414839882206665
16952452398188129718,0,P6,0.9396552524259405
9099545175214564549,1,P7,0.9385693017710778
10827615900647284443,0,P6,0.928407117107545
3187896603744817223,0,P6,0.9091959391781049
6917026303908767459,1,P7,0.9190171759039667
105204709997972838,0,P6,0.9315160238898242
5660398511027418239,0,P6,0.9108519031483074
4726972408708553306,0,P6,0.9156984484825482
18273307577753501716,0,P6,0.9161487794956558
1100381153044627137,0,P6,0.9511364597983728
10081485882718537526,0,P6,0.9417848763607126
6907744952455185800,0,P6,0.9321303088487906
6589483505137821787,0,P6,0.9318824714404791
17541820253377387756,1,P7,0.9386776820700545
16994213118979899544,0,P6,0.939599662803389
18264611281695997701,0,P6,0.9237612815429087
17157395125479541745,1,P7,0.9717430481672027
14457512821303610991,0,P6,0.921429077169924
346155203157501992,0,P6,0.9228613984866542
2792478901826177547,0,P6,0.9173395864893602
8698113652215464692,0,P6,0.928767895112457
7199728730116600418,0,P6,0.9368649878128338
15457107324962412001,0,P6,0.9064567745059195
11661325420966317009,0,P6,0.9305565072063098
1803035139385347065,0,P6,0.9492845591689067
10606000192132117648,0,P6,0.9460987035964471
18044995156999761794,0,P6,0.9502175131662028
3054072527725425444,0,P6,0.9186842412983505
9275311963932753308,0,P6,0.9489816028139495
14578556122896417584,0,P6,0.9120747964808018
16219744371105091444,1,P7,0.98621038692622
13290498821686343838,0,P6,0.9307296249973487
15526044180531331228,0,P6,0.9359307367642589
628637890106960812,1,P7,0.9515111496371755
17415252450530351020,0,P6,0.9260447229141897
13879265979323252081,0,P6,0.9186508344057767
4809766120432960721,0,P6,0.908673944386306
16651019387177943515,0,P6,0.9327817612425662
1627236507357515195,1,P7,0.9043921036227843
7743482042879557541,0,P6,0.9474408772333339
17031036199110162027,0,P6,0.9188529894962668
1162895838889852312,0,P6,0.9106362991472965
2915600649333299557,0,P6,0.9044877016295144
17002128453664965427,0,P6,0.9288752519809372
3615830823791759730,0,P6,0.9068047358690173
16406041827857041343,0,P6,0.9482320976807794
1616584246585361865,0,P6,0.9234561850515068
1198389093182152599,0,P6,0.9138775017006683
10451749492284849442,0,P6,0.904221627888269
5248048108766933181,0,P6,0.9516048406993519
10580959000405472749,1,P7,0.9030776117791449
11272476676780721882,0,P6,0.9379421101939796
12979814373596743396,0,P6,0.9126235581531377
14151042606065202191,0,P6,0.9289644604195795
881960334056174669,0,P6,0.9487826863376427
7804195407594593146,2,P8,0.9457705469992618
13682781671030400311,0,P6,0.9424754321572435
17699475190855878489,1,P7,0.9100914968619402
11535899309464415047,0,P6,0.9443174380473416
250666207408100449,0,P6,0.9451296811182561
17976845703226948541,0,P6,0.9480157091182535
13870207809368478908,0,P6,0.9391880811220877
4162138896255334663,0,P6,0.9351570165280152
14740001963968886277,1,P7,0.9386997657424108
4248942323574598072,1,P7,0.9895203302470199
11046286169103732929,0,P6,0.9355956602372678
4201940337345865222,0,P6,0.9275724264726622
7344536970897822898,0,P6,0.9235911202872679
16651332406269746160,0,P6,0.9369545668268897
942689898746582328,0,P6,0.9110601890354363
2486643747996829630,0,P6,0.9061749194794337
1226225824576609489,1,P7,0.9407301452378337
1642329169383662501,0,P6,0.9175431727585764
698086009674626841,0,P6,0.9152416954258411
9139804827290784106,1,P7,0.9368371786652259
2740600822213878986,0,P6,0.9022657681938462
17299424790173801660,0,P6,0.9401593679940612
18398608384837266070,0,P6,0.9259629329003344
8427402336646013315,0,P6,0.9432696942816486
5988234128391904708,0,P6,0.9498192494384141
8544947462588642493,0,P6,0.9035098406204743
13046454824017087669,0,P6,0.9383777103822045
14185719192543292486,0,P6,0.9056662519081128
2523449096938669094,0,P6,0.9403123626569919
419126834262103824,0,P6,0.9466011871685274
2621849847277794488,0,P6,0.9332630893472442
5713106883167966249,0,P6,0.9482541440909401
798748462317444206,2,P8,0.9993365617711859
5112077148539002468,0,P6,0.951582764187202
869191315013089517,0,P6,0.9340365849317412
3822881330331087952,0,P6,0.9044959834587467
1811758461039109886,0,P6,0.9450144129528985
14387810205031716120,0,P6,0.9026669359984467
8059937646700026626,0,P6,0.9367642908372998
4049805021732103396,0,P6,0.927125933159541
3236900808705617704,0,P6,0.9119010941736766
16115822618595502741,0,P6,0.9336943700809758
2734991937583769612,2,P8,0.9912465294269469
4544347574570282245,0,P6,0.9116336172625613
5687836561170694908,0,P6,0.9332747978084838
512955409922325798,0,P6,0.9227166137035435
12846770501837704967,0,P6,0.9293917412841786
16912861328265232762,0,P6,0.934757021262207
5073603624797294906,0,P6,0.9238716799279371
3026612918956092333,0,P6,0.9456663849930104
6753437001466427483,0,P6,0.9316322295133885
16222110144655228303,0,P6,0.9224879203962635
11951445983785662118,0,P6,0.939053499543319
10602697718340124875,0,P6,0.9000273761545419
2632445799304702172,0,P6,0.9153524198004251
8597138715178440597,0,P6,0.9368726660674164
997823252340436645,0,P6,0.9431317627752844
8251888686268041651,0,P6,0.9363589732185018
2978459658571849296,0,P6,0.9076441053430555
3196875461152499365,0,P6,0.9323873605860253
14926664021001534691,0,P6,0.9520545748776159
2582186744215848727,0,P6,0.9189509141084253
4217833227800758776,0,P6,0.9511231042027908
5373288919358296044,2,P8,0.9999846634383148
3529484901735738777,1,P7,0.9673788861604392
11667054514324278956,0,P6,0.9276241453055469
7736839146661544921,0,P6,0.9461171567103094
15059392372006135076,1,P7,0.9191604191113266
3450421230704404638,0,P6,0.9265069185194389
5258366409341879440,0,P6,0.9419888121540297
13365791131683943057,2,P8,0.9910944189639832
2241310497724132418,0,P6,0.9449051045889759
17363380886012025617,0,P6,0.9516893039980973
6771572365256984877,0,P6,0.9483263729759993
16885031632335639456,0,P6,0.9394167363776146
9533411129386206251,0,P6,0.9510788709901796
9712786450254770893,0,P6,0.9172413178308214
2415871795766167181,2,P8,0.9985882709190588
10393102759596105551,0,P6,0.9151154730516465
10238194623517646140,0,P6,0.9384033512747381
11474744853399912908,0,P6,0.950451627075312
15714157903715509381,0,P6,0.9032996845889325
4924065836766906204,0,P6,0.9351251618672478
7213985726151309665,0,P6,0.9436902617076398
18222149405081834450,0,P6,0.9371386956688005
10687924878597318509,0,P6,0.9028847393269628
2587173698801880157,1,P7,0.9783987516366545
2405959124698258580,0,P6,0.9393779029129071
2825032492126754113,0,P6,0.9021304035461678
16901151771357331799,0,P6,0.9055296782385651
14800197573978114198,1,P7,0.9014250414251571
12048513172874963258,0,P6,0.9160616270833716
5637863094632625751,1,P7,0.9205310030338041
10502233968250413977,0,P6,0.9372423241248815
13230243326598900446,0,P6,0.9293101426315827
2456456171086469054,0,P6,0.9382423819329044
16007699045786834427,0,P6,0.9216233054384416
7876893560080696537,0,P6,0.951657091090584
12760108278249340083,1,P7,0.9186200305770759
12642702754106269022,0,P6,0.9176946020221189
16534483980591731095,0,P6,0.9291175123685035
2729723492375318141,0,P6,0.9100178031038463
10624372311331532490,0,P6,0.9087433732720089
8049949337979343055,0,P6,0.9469191212627549
15878131386478296392,0,P6,0.9407660395607276
9500142533328229128,0,P6,0.9450927996156555
1929544985007939409,0,P6,0.9385994997079257
5495613497744354452,0,P6,0.9206901213374421
14937171119153126915,0,P6,0.9276744007369933
8425659690542715786,1,P7,0.9776904840873554
15950689953484216405,0,P6,0.9444276120126962
14127366841380253188,0,P6,0.9479049062057479
9994388636254977414,0,P6,0.9236778103931547
7801524205962434015,0,P6,0.9297617643544434
12058505011434857460,0,P6,0.9187334172675652
13032755490448067291,0,P6,0.9261970531539608
1500035953028267404,0,P6,0.9212126863398541
16595899666080447725,2,P8,0.9994627252168986
4504968459877308617,0,P6,0.9451796272520008
8530144392636593090,1,P7,0.918931038641674
4704434081723859980,0,P6,0.9094137265589237
